[Metadata]
Chronomia, Lime, 115002

[Notes]
0, 3196, 5
3, 3196, 0
2, 3461, 0
1, 3593, 0
1, 4254, 0
2, 4254, 0
0, 4650, 0
3, 4650, 0
1, 5047, 0
2, 5179, 0
1, 5443, 0
0, 5575, 0
0, 6368, 0
1, 6632, 0
2, 6897, 0
1, 7161, 0
3, 7161, 0
0, 7425, 0
2, 7425, 0
1, 7690, 0
2, 7822, 0
1, 8483, 0
2, 8483, 0
0, 8879, 0
3, 8879, 0
2, 9276, 0
3, 9276, 0
0, 9408, 0
1, 9408, 0
0, 10597, 0
1, 10862, 0
2, 11126, 0
3, 11390, 0
0, 11654, 0
1, 11654, 0
2, 11654, 0
3, 11787, 0
0, 11919, 0
2, 12051, 0
1, 12183, 0
3, 12315, 0
2, 12447, 0
1, 12580, 0
0, 12712, 0
2, 12712, 0
3, 12844, 0
1, 12976, 0
2, 13108, 0
3, 13240, 0
0, 13373, 0
2, 13505, 0
1, 13637, 0
0, 13769, 0
2, 13769, 0
3, 13769, 0
1, 13901, 0
2, 14033, 0
0, 14165, 0
1, 14165, 0
3, 14165, 0
2, 14298, 0
1, 14430, 0
0, 14562, 0
2, 14562, 0
3, 14562, 0
1, 14694, 0
2, 14826, 0
0, 14958, 0
1, 15091, 0
3, 15223, 0
2, 15355, 0
1, 15487, 0
0, 15619, 0
2, 15751, 0
3, 15884, 0
2, 16016, 0
0, 16148, 0
1, 16280, 0
2, 16412, 0
1, 16544, 0
3, 16676, 0
2, 16809, 0
0, 16941, 0
1, 17073, 0
3, 17205, 0
2, 17337, 0
0, 17469, 0
1, 17602, 0
0, 17734, 0
2, 17866, 0
1, 17998, 0
3, 17998, 128
0, 18130, 0
2, 18262, 0
1, 18395, 0
2, 18527, 0
0, 18659, 0
1, 18791, 0
2, 18923, 128
3, 19055, 0
0, 19187, 0
3, 19320, 0
1, 19452, 0
0, 19584, 0
3, 19716, 0
1, 19848, 0
3, 19980, 0
0, 20113, 0
1, 20113, 0
0, 20509, 0
1, 20509, 0
3, 20509, 0
0, 20906, 0
2, 20906, 0
3, 20906, 0
0, 21302, 0
1, 21302, 0
3, 21302, 0
1, 21699, 0
3, 21831, 0
2, 21897, 0
0, 21963, 0
1, 22029, 0
2, 22095, 0
0, 22227, 0
1, 22227, 0
3, 22227, 0
2, 22359, 0
0, 22491, 0
1, 22624, 0
2, 22756, 0
3, 22756, 0
0, 22888, 0
1, 23020, 0
2, 23152, 0
0, 23284, 0
3, 23284, 0
1, 23350, 0
2, 23417, 0
3, 23549, 0
2, 23681, 0
0, 23813, 0
1, 23813, 0
3, 23945, 0
1, 24077, 0
0, 24210, 0
1, 24342, 0
3, 24342, 0
2, 24408, 0
1, 24474, 0
0, 24606, 0
2, 24738, 0
1, 24870, 0
3, 24870, 0
0, 25002, 0
2, 25135, 0
3, 25267, 0
0, 25399, 0
1, 25399, 0
2, 25531, 0
0, 25663, 0
1, 25795, 0
0, 25928, 0
3, 25928, 0
2, 26060, 0
1, 26192, 0
0, 26324, 0
3, 26324, 0
1, 26456, 0
2, 26456, 0
3, 26588, 0
0, 26721, 0
2, 26853, 0
1, 26985, 0
3, 26985, 0
0, 27117, 0
2, 27249, 0
1, 27381, 0
0, 27513, 0
3, 27513, 0
1, 27580, 0
2, 27646, 0
3, 27778, 0
1, 27910, 0
0, 28042, 0
2, 28042, 0
3, 28174, 0
0, 28306, 0
1, 28439, 0
2, 28571, 0
3, 28571, 0
0, 28703, 0
1, 28835, 0
2, 28967, 0
0, 29099, 0
3, 29099, 0
1, 29232, 0
2, 29364, 0
3, 29496, 0
0, 29628, 0
2, 29628, 0
1, 29760, 0
3, 29892, 0
0, 30024, 0
1, 30024, 0
2, 30024, 0
3, 30289, 0
1, 30421, 0
2, 30553, 0
0, 30685, 0
1, 30685, 0
3, 30685, 0
2, 30817, 0
0, 30950, 0
1, 31082, 0
2, 31214, 0
3, 31214, 0
1, 31346, 0
0, 31478, 0
3, 31610, 0
0, 31743, 0
1, 31743, 0
2, 31809, 0
3, 31875, 0
0, 32007, 0
1, 32139, 0
0, 32271, 0
3, 32271, 0
2, 32403, 0
3, 32536, 0
1, 32668, 0
0, 32800, 0
2, 32800, 0
3, 32932, 0
1, 33064, 0
2, 33196, 0
0, 33328, 0
3, 33328, 0
1, 33461, 0
3, 33593, 0
0, 33725, 0
1, 33857, 0
2, 33857, 0
3, 33989, 0
1, 34121, 0
0, 34254, 0
2, 34386, 0
3, 34386, 0
1, 34518, 0
2, 34650, 0
1, 34782, 0
3, 34782, 0
0, 34914, 0
2, 34914, 0
1, 35047, 0
3, 35179, 0
0, 35311, 0
1, 35443, 0
2, 35443, 0
3, 35575, 0
2, 35707, 0
1, 35839, 0
0, 35972, 0
3, 35972, 0
2, 36038, 0
1, 36104, 0
0, 36236, 0
2, 36368, 0
1, 36500, 0
3, 36500, 0
2, 36632, 0
3, 36765, 0
0, 36897, 0
1, 37029, 0
2, 37029, 0
3, 37161, 0
0, 37293, 0
1, 37425, 0
0, 37558, 0
2, 37558, 0
3, 37690, 0
1, 37822, 0
2, 37954, 0
0, 38086, 0
3, 38086, 0
1, 38218, 0
2, 38350, 0
0, 38417, 0
1, 38483, 0
2, 38549, 0
3, 38615, 0
0, 38681, 0
1, 38747, 0
2, 38813, 0
3, 38879, 0
1, 38945, 0
0, 39011, 0
2, 39077, 0
1, 39143, 0
3, 39143, 0
2, 39276, 0
0, 39342, 0
1, 39408, 0
2, 39474, 0
3, 39540, 0
1, 39606, 0
0, 39672, 0
3, 39738, 0
2, 39804, 0
1, 39870, 0
0, 39936, 0
2, 40002, 0
3, 40069, 0
1, 40135, 0
2, 40201, 0
3, 40267, 0
0, 40333, 0
1, 40399, 0
2, 40465, 0
3, 40531, 0
1, 40597, 0
0, 40663, 0
2, 40729, 0
1, 40795, 0
0, 40862, 0
3, 40928, 0
2, 40994, 0
0, 41126, 0
1, 41258, 0
3, 41258, 0
2, 41390, 0
1, 41522, 0
2, 41588, 0
0, 41654, 0
3, 41654, 0
1, 41787, 0
2, 41919, 0
3, 41919, 0
0, 42051, 0
1, 42183, 0
2, 42183, 0
3, 42315, 0
2, 42447, 0
1, 42580, 0
0, 42712, 0
2, 42844, 0
3, 42844, 0
0, 42976, 0
1, 42976, 0
2, 43108, 0
3, 43240, 0
0, 43373, 0
1, 43373, 0
2, 43439, 0
3, 43505, 0
0, 43571, 0
1, 43637, 0
2, 43703, 0
3, 43769, 0
1, 43835, 0
0, 43901, 0
2, 44033, 0
3, 44033, 0
0, 44165, 0
1, 44298, 128
2, 44298, 0
0, 44562, 128
3, 44826, 0
2, 44892, 0
1, 44958, 0
0, 45024, 0
3, 45091, 0
2, 45157, 0
0, 45223, 0
1, 45223, 0
3, 45289, 0
2, 45355, 0
0, 45421, 0
1, 45487, 0
3, 45487, 0
0, 45619, 0
2, 45619, 0
1, 45884, 0
2, 45884, 0
0, 46280, 0
2, 46280, 0
1, 46412, 0
3, 46412, 0
1, 46676, 0
2, 46676, 0
3, 46809, 0
2, 46875, 0
1, 46941, 0
0, 47007, 0
3, 47073, 0
2, 47139, 0
0, 47205, 0
1, 47271, 0
2, 47337, 0
3, 47403, 0
0, 47469, 0
1, 47536, 0
2, 47602, 0
3, 47602, 0
0, 47734, 0
1, 47734, 0
2, 47998, 0
3, 47998, 0
0, 48395, 0
1, 48395, 0
2, 48527, 0
3, 48527, 0
0, 48791, 0
1, 48791, 0
2, 48923, 0
3, 48989, 0
0, 49055, 0
